Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:56,2022-08-30 16:19:57,"1,536s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,003s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,002s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,002s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,004s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,011s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,008s",PASSED
println(jsonString),,,,2022-08-30 16:19:57,2022-08-30 16:19:57,"0,034s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:19:57,2022-08-30 16:19:58,"0,032s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:19:58,2022-08-30 16:19:58,"0,211s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:19:58,2022-08-30 16:20:00,"2,081s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:19:58,2022-08-30 16:19:58,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:19:58,2022-08-30 16:19:58,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:58,2022-08-30 16:19:59,"1,219s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,007s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,010s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
println(jsonString),,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:19:59,2022-08-30 16:19:59,"0,008s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:19:59,2022-08-30 16:20:00,"0,764s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:00,2022-08-30 16:20:02,"1,378s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:00,2022-08-30 16:20:00,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:00,2022-08-30 16:20:00,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:00,2022-08-30 16:20:01,"0,995s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,003s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,001s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,003s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,002s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,001s",PASSED
println(jsonString),,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,002s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:01,2022-08-30 16:20:01,"0,002s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:01,2022-08-30 16:20:02,"0,267s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:02,2022-08-30 16:20:04,"2,405s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:02,2022-08-30 16:20:02,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:02,2022-08-30 16:20:02,"0,005s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:02,2022-08-30 16:20:03,"1,621s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,001s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,001s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,036s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,011s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:03,2022-08-30 16:20:03,"0,001s",PASSED
println(jsonString),,,,2022-08-30 16:20:03,2022-08-30 16:20:04,"0,015s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:04,2022-08-30 16:20:04,"0,005s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:04,2022-08-30 16:20:04,"0,561s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:04,2022-08-30 16:20:06,"1,591s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:04,2022-08-30 16:20:04,"0,008s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:04,2022-08-30 16:20:04,"0,002s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:04,2022-08-30 16:20:05,"1,117s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,000s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,000s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,002s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,001s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,003s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,000s",PASSED
println(jsonString),,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,001s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:05,2022-08-30 16:20:05,"0,004s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:05,2022-08-30 16:20:06,"0,310s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:06,2022-08-30 16:20:08,"1,993s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:06,2022-08-30 16:20:06,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:06,2022-08-30 16:20:06,"0,002s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:06,2022-08-30 16:20:07,"1,298s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,014s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,005s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,001s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,001s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,002s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,003s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,002s",PASSED
println(jsonString),,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,002s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:07,2022-08-30 16:20:07,"0,005s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:07,2022-08-30 16:20:08,"0,592s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:08,2022-08-30 16:20:09,"1,324s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:08,2022-08-30 16:20:08,"0,001s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:08,2022-08-30 16:20:08,"0,004s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:08,2022-08-30 16:20:09,"1,059s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,000s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,002s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,001s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,000s",PASSED
println(jsonString),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,001s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,002s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:20:09,2022-08-30 16:20:09,"0,178s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:20:09,2022-08-30 16:20:11,"1,490s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:20:10,2022-08-30 16:20:10,"0,001s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:20:10,2022-08-30 16:20:10,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:20:10,2022-08-30 16:20:11,"1,140s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,008s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,001s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,012s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,006s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,002s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,001s",PASSED
println(jsonString),,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,003s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:20:11,2022-08-30 16:20:11,"0,003s",PASSED
